# GRAPHICS.PAK resource catalog
# Source: @react95/icons 2.5.3
# Entries: 975
# name,width,height,source
Lights102,16,16,Lights102_16x16_4.png
Lights103,16,16,Lights103_16x16_4.png
Lights99,256,96,Lights99_256x96_4.png
Listicon,16,16,Listicon_16x16_4.png
LoaderBat,32,32,LoaderBat_32x32_4.png
Lock,32,32,Lock_32x32_4.png
Logo,32,32,Logo_32x32_4.png
LogView,32,32,LogView_32x32_4.png
LrgIcon,16,16,LrgIcon_16x16_4.png
Lst2icon,16,16,Lst2icon_16x16_4.png
Mail,32,32,Mail_32x32_4.png
Mail2,16,16,Mail2_16x16_4.png
Mail3,16,16,Mail3_16x16_4.png
Mailnews12,32,32,Mailnews12_32x32_4.png
Mailnews13,32,32,Mailnews13_32x32_4.png
Mailnews14,32,32,Mailnews14_32x32_4.png
Mailnews15,32,32,Mailnews15_32x32_4.png
Mailnews16,32,32,Mailnews16_32x32_4.png
Mailnews17,32,32,Mailnews17_32x32_4.png
Mailnews18,32,32,Mailnews18_32x32_4.png
Mailnews19,32,32,Mailnews19_32x32_4.png
Mailnews2,32,32,Mailnews2_32x32_4.png
Mailnews20,32,32,Mailnews20_32x32_4.png
Mailnews21,32,32,Mailnews21_32x32_4.png
Mailnews22,32,32,Mailnews22_32x32_4.png
Mailnews23,16,16,Mailnews23_16x16_4.png
Mailnews3,32,32,Mailnews3_32x32_4.png
Mailnews6,32,32,Mailnews6_32x32_4.png
Mailnews7,32,32,Mailnews7_32x32_4.png
Mailnews8,32,32,Mailnews8_32x32_4.png
Mailnews9,32,32,Mailnews9_32x32_4.png
Main100,32,32,Main100_32x32_4.png
Main103,32,32,Main103_32x32_4.png
Main104,32,32,Main104_32x32_4.png
Main105,32,32,Main105_32x32_4.png
Main106,32,32,Main106_32x32_4.png
Main107,32,32,Main107_32x32_4.png
Main200,32,32,Main200_32x32_4.png
Main300,32,32,Main300_32x32_4.png
Main400,32,32,Main400_32x32_4.png
Main500,32,32,Main500_32x32_4.png
Main600,32,32,Main600_32x32_4.png
Mapi32451,32,32,Mapi32451_32x32_4.png
Mapi32501,32,32,Mapi32501_32x32_4.png
Mapi32801,32,32,Mapi32801_32x32_4.png
Mapi32IconAttach,32,32,Mapi32IconAttach_32x32_4.png
Mapisp32100,32,32,Mapisp32100_32x32_4.png
Mcdpkgtm3000,32,32,Mcdpkgtm3000_32x32_4.png
Mcm3200,32,32,Mcm3200_32x32_4.png
Mcm3201,32,32,Mcm3201_32x32_4.png
Mcm3202,32,32,Mcm3202_32x32_4.png
Mcm3203,32,32,Mcm3203_32x32_4.png
Mcm401,32,32,Mcm401_32x32_4.png
Mcm502,32,32,Mcm502_32x32_4.png
McmEarth,32,32,McmEarth_32x32_4.png
McmPhone,32,32,McmPhone_32x32_4.png
Mdisp321,32,32,Mdisp321_32x32_4.png
MediaAudio,32,32,MediaAudio_32x32_4.png
MediaCd,32,32,MediaCd_32x32_4.png
MediaVideo,32,32,MediaVideo_32x32_4.png
Memory,32,32,Memory_32x32_4.png
Message,16,16,Message_16x16_4.png
Mic,32,32,Mic_32x32_4.png
MicrosoftExchange,32,32,MicrosoftExchange_32x32_4.png
MicrosoftNetwork,32,32,MicrosoftNetwork_32x32_4.png
Mipac,16,16,Mipac_16x16_4.png
Mkcompat900,32,32,Mkcompat900_32x32_4.png
Mlcfg32129,32,32,Mlcfg32129_32x32_4.png
Mmsys100,32,32,Mmsys100_32x32_4.png
Mmsys101,32,32,Mmsys101_32x32_4.png
Mmsys102,32,32,Mmsys102_32x32_4.png
Mmsys103,32,32,Mmsys103_32x32_4.png
Mmsys104,32,32,Mmsys104_32x32_4.png
Mmsys105,32,32,Mmsys105_32x32_4.png
Mmsys106,32,32,Mmsys106_32x32_4.png
Mmsys107,32,32,Mmsys107_32x32_4.png
Mmsys108,32,32,Mmsys108_32x32_4.png
Mmsys109,32,32,Mmsys109_32x32_4.png
Mmsys110,32,32,Mmsys110_32x32_4.png
Mmsys111,32,32,Mmsys111_32x32_4.png
Mmsys112,32,32,Mmsys112_32x32_4.png
Mmsys113,32,32,Mmsys113_32x32_4.png
Mmsys114,32,32,Mmsys114_32x32_4.png
Mmsys115,32,32,Mmsys115_32x32_4.png
Mmsys116,32,32,Mmsys116_32x32_4.png
Mmsys117,32,32,Mmsys117_32x32_4.png
Mmsys118,32,32,Mmsys118_32x32_4.png
Mmsys119,32,32,Mmsys119_32x32_4.png
Mmsys120,32,32,Mmsys120_32x32_4.png
Mmsys121,32,32,Mmsys121_32x32_4.png
Mmsys122,32,32,Mmsys122_32x32_4.png
Mmsys123,32,32,Mmsys123_32x32_4.png
Mmsys124,32,32,Mmsys124_32x32_4.png
Mmsys90,32,32,Mmsys90_32x32_4.png
Mmsys99,32,32,Mmsys99_32x32_4.png
Moscudll128,32,32,Moscudll128_32x32_4.png
Mplayer10,32,32,Mplayer10_32x32_4.png
Mplayer11,32,32,Mplayer11_32x32_4.png
Mplayer110,32,32,Mplayer110_32x32_4.png
Mplayer111,32,32,Mplayer111_32x32_4.png
Mplayer112,32,32,Mplayer112_32x32_4.png
Mplayer113,32,32,Mplayer113_32x32_4.png
Mplayer114,32,32,Mplayer114_32x32_4.png
Mplayer115,32,32,Mplayer115_32x32_4.png
Mplayer116,32,32,Mplayer116_32x32_4.png
Mplayer12,32,32,Mplayer12_32x32_4.png
